"Epic","Total","En producción","En progreso","No iniciado","% funcional"
"COTIZACIÓN","72","53","15","4","74%"
"PRECIOS Y TARIFAS","25","20","5","0","80%"
"RESERVACIÓN","22","16","2","4","73%"
"VEHÍCULOS Y FLOTA","19","17","2","0","89%"
"TOURS Y EXPERIENCIAS","20","17","2","1","85%"
"SERVICIOS Y POIs","20","16","4","0","80%"
"CLIENTES Y AGENCIAS","17","14","3","0","82%"
"FACTURACIÓN","10","9","0","1","90%"
"CANCELACIONES","11","9","0","2","82%"
"PERSONAL Y NÓMINA","12","7","2","3","58%"
"USUARIOS, ROLES Y PERMISOS","15","11","4","0","73%"
"AUDITORÍA Y CUMPLIMIENTO","11","8","1","2","73%"
"REPORTES Y ANALÍTICA","7","5","2","0","71%"
"NOTIFICACIONES","9","8","1","0","89%"
"FORMULARIOS","11","9","1","1","82%"
"SITIO PÚBLICO Y LANDING","12","4","5","3","33%"
"CONFIGURACIÓN DEL SISTEMA","6","3","2","1","50%"
"AUTENTICACIÓN","11","10","1","0","91%"
"INTEGRACIONES","7","5","0","2","71%"
"TOTAL","317","241","52","24","76.0%"
