originPOI_name,originPOI_serviceType,destinationPOI_name,destinationPOI_serviceType,note
,,San Miguel de Allende,Aeropuerto,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Aguascalientes,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE AGUASCALIENTES
Estado de México,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN EL ESTADO DE MÉXICO
León,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE LEÓN
Cuernavaca,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE CUERNAVACA
Dolores Hidalgo,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE DOLORES HIDALGO
Guanajuato,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE GUANAJUATO
Morelia,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE MORELIA
Puebla,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE PUEBLA
Guadalajara,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE GUADALAJARA
,,Capilla de Jimmy Ray,Local,
San Miguel de Allende,Aeropuerto,Zacatecas,Punto a Punto,CUALQUIER DESTINO EN LA CIUDAD DE ZACATECAS
San Juan del Rio,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE SAN JUAN DEL RÍO
Querétaro,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE QUERÉTARO
San Luis Potosí,Punto a Punto,San Miguel de Allende,Aeropuerto,CUALQUIER DESTINO EN LA CIUDAD DE SAN LUIS POTOSÍ
,,Casa Adela,Local,
,,Casa de Aves,Local,
,,Club de Golf Malanquín,Local,
,,Club de Golf Ventanas,Local,
,,Central de Autobuses,Local,
,,Escondido Place,Local,
,,Hacienda Calderon,Local,
,,Finca Luna Serena,Local,
,,Hacienda Herencia de Allende,Local,
,,Hacienda Los Picachos,Local,
,,Fábrica La Aurora,Local,
,,Hacienda San José La Vista,Local,
,,Hacienda Los Arcángeles,Local,
,,Helipuerto Los Gerez,Local,
,,Hacienda Puerto de Sosa,Local,
,,Finca La Devocion,Local,
,,La Candelaria,Local,
,,La Casona,Local,
,,Mayan Baths,Local,
,,La Zandunga,Local,
,,La Noria,Local,
,,Los Senderos,Local,
,,La Gruta,Local,
,,Opuntia,Local,
,,Otomí,Local,
,,Rancho La Trinidad,Local,
,,Rancho Labradores,Local,
,,Viñedo Cuna de Tierra,Local,
,,Santuario de Atotonilco,Local,
,,Viñedo Dos Búhos,Local,
,,Rancho Las Sabinas,Local,
,,Rancho Las Puertas,Local,
,,Rancho Vía Orgánica,Local,
,,Rancho Luna Escondida,Local,
,,Rancho San Luis Gonzaga,Local,
,,Viñedo La Santísima Trinidad,Local,
,,Viñedos San Miguel,Local,
,,Zirándaro,Local,
,,Viñedo Toyan,Local,
,,Viñedos Patria,Local,
,,Viñedo Tres Raíces,Local,
,,Viñedo San Lucas,Local,
,,Zona Centro,Local,
,,Viñedo Los Remedios,Local,
